Date,CNSI,CNSI_Z,Fiedler
2015-03-27,1.1907139477386666e-05,,4.195895542780065
2015-03-30,1.3483666272529977e-05,,4.174057624900518
2015-03-31,4.073769028106355e-06,,4.1262754941214315
2015-04-01,6.152747434093825e-06,,4.1566000876768525
2015-04-02,4.5527271455352996e-06,,4.245009031245275
2015-04-03,9.693938784317086e-06,,4.290724593939489
2015-04-06,4.501510727033629e-06,,4.271870639109643
2015-04-07,4.8778124231573355e-06,,4.221540993588333
2015-04-08,1.9476916609492844e-05,,4.31615046904819
2015-04-09,4.615202121725284e-06,,4.429015880676117
2015-04-10,1.272581967558644e-05,,4.404538258293281
2015-04-13,4.919415666760493e-06,,5.598954983367639
2015-04-14,1.1870603066552957e-05,,5.677786832246143
2015-04-15,5.838138724697034e-06,,5.667537519138412
2015-04-16,1.2888558060494033e-05,,5.694689912446861
2015-04-17,1.045809580392438e-05,,5.729998603433155
2015-04-20,1.2847156585032576e-05,,5.416792296726003
2015-04-21,3.249132048048581e-06,,6.722379118598761
2015-04-22,3.5745631466457097e-06,,6.991379872996923
2015-04-23,1.7146840034800304e-05,,6.821294957683498
2015-04-24,2.00256527374126e-05,,7.098511028084356
2015-04-27,5.195509524327121e-06,,7.097106111380214
2015-04-28,3.7386752791018075e-06,,7.302765871324699
2015-04-29,1.2268759871124609e-05,,7.278160218308396
2015-04-30,5.8601518656731235e-05,,7.373134445499389
2015-05-01,1.7892250897439513e-05,,7.433174905561191
2015-05-04,7.755025807368498e-06,,7.678833763531517
2015-05-05,2.983942474454656e-06,,7.495620313088088
2015-05-06,8.701927865657666e-06,,7.46920853301054
2015-05-07,2.3837989679753523e-05,,7.5739192234602495
2015-05-08,1.4273355204405088e-05,,7.594454093765609
2015-05-11,8.154057533281064e-06,,7.714983236706782
2015-05-12,1.5414687221239826e-05,,7.696065353104687
2015-05-13,7.878004882041164e-06,,7.773109620103824
2015-05-14,8.903882770646834e-06,,8.119852585032085
2015-05-15,5.477806974160752e-06,,8.271516945740464
2015-05-18,8.719682008701152e-06,,8.28719204630053
2015-05-19,4.7814389221008e-06,,8.298382246530188
2015-05-20,1.1696078717978846e-05,,8.405852864343721
2015-05-21,5.184080019101225e-06,,8.400294196928407
2015-05-22,4.050072444326915e-06,,8.33799842052547
2015-05-25,3.781107941738042e-06,,8.348724567336294
2015-05-26,1.2273677567244855e-06,,8.375295427116665
2015-05-27,2.9048461268731524e-06,,8.369814223238343
2015-05-28,2.8474649096315307e-06,,8.38528367511937
2015-05-29,1.567180668572002e-05,,8.460221012376744
2015-06-01,8.978935033747912e-06,,8.411053302667305
2015-06-02,1.8429647791025542e-05,,8.304904795734636
2015-06-03,1.0216087499442797e-05,,8.220817366797853
2015-06-04,1.7470206738653137e-05,,8.173671473390739
2015-06-05,6.97022486277733e-06,,8.333260116710152
2015-06-08,2.1068517708161458e-05,,8.30158333581187
2015-06-09,8.829211441082133e-06,,8.308303130708167
2015-06-10,3.398529292438997e-06,,8.37363599686826
2015-06-11,2.1797205388149e-05,,8.364139293580669
2015-06-12,9.39859083526423e-06,,7.9090421971767695
2015-06-15,7.150472308996383e-06,,7.785961046054828
2015-06-16,2.0561530505042222e-06,,7.501481290095822
2015-06-17,1.6414047115575924e-06,,7.366795056525149
2015-06-18,3.8267281387804284e-05,,7.345780368169454
2015-06-19,2.295673067068944e-05,,6.7189914855567325
2015-06-22,4.247518307562324e-06,,6.738937246188103
2015-06-23,4.327637198448759e-07,,6.711640361072074
2015-06-24,2.5062480960827885e-05,,6.695533672384235
2015-06-25,5.20560064648376e-06,,6.480452164729605
2015-06-26,3.0234282687221826e-06,,6.431696857148789
2015-06-29,3.678896384216903e-05,,6.391691445407516
2015-06-30,4.013129872414816e-05,,6.293714314201922
2015-07-01,1.1249336397446522e-05,,6.306866203982451
2015-07-02,3.6082599196296413e-06,,6.411767545578837
2015-07-03,7.697907892300855e-06,,6.634919537684355
2015-07-06,2.3675037762786048e-05,,6.940883500581279
2015-07-07,3.5315835850080462e-06,,6.951233216839448
2015-07-08,7.905423462592653e-06,,6.996281130366182
2015-07-09,2.365270096633026e-05,,6.804586953716131
2015-07-10,1.598354773203811e-05,,6.563475299241086
2015-07-13,2.1879667935617926e-05,,6.34649769398847
2015-07-14,7.330907195994273e-06,,6.275047762836061
2015-07-15,6.579937873699162e-06,,6.231850900393458
2015-07-16,1.6057862424692084e-05,,6.322703122422478
2015-07-17,6.0171056921706215e-06,,6.501489573624232
2015-07-20,9.326517141497985e-06,,6.690199378685026
2015-07-21,1.309850729649002e-05,,6.556496790563761
2015-07-22,9.395379267915961e-06,,6.534930493441148
2015-07-23,6.003977187202629e-06,,6.387489006858921
2015-07-24,5.712042897806232e-06,,6.810972977707045
2015-07-27,4.749159005521398e-06,,6.767551731340043
2015-07-28,6.849258424050788e-06,,6.55477049963314
2015-07-29,2.286559451905238e-05,,6.637997563892457
2015-07-30,5.843379596320329e-06,,6.511503668651876
2015-07-31,2.952135823005098e-06,,6.411163434789907
2015-08-03,4.514900695406633e-06,,6.393227778622009
2015-08-04,1.9290455481507127e-06,,6.371463355997877
2015-08-05,1.9119498771458537e-05,,6.298950820718858
2015-08-06,3.558082053645495e-06,,6.3167012518953465
2015-08-07,6.673843995508104e-06,,6.032009250197424
2015-08-10,1.3348443000991994e-05,,6.038980761250601
2015-08-11,1.0589126323683308e-05,,6.0882618843805565
2015-08-12,1.299898406213609e-05,,5.787739490728644
2015-08-13,7.09869143384745e-06,,5.6434109394957455
2015-08-14,1.7942122871691383e-05,,5.935319014742935
2015-08-17,3.3599128024687966e-06,,5.933100063437356
2015-08-18,6.631794224715823e-06,,5.806183219966746
2015-08-19,7.214337017465387e-06,,5.806390652808933
2015-08-20,9.419244643899894e-06,,5.348885695488593
2015-08-21,6.4887795301155265e-06,,5.395087297447549
2015-08-24,5.518600352373442e-05,,5.460668455190683
2015-08-25,0.00013555613940580567,,5.235866726912571
2015-08-26,1.2352140890214168e-05,,3.9191140137403075
2015-08-27,7.554631839111046e-05,,3.5035730459319616
2015-08-28,6.620994693801626e-05,,3.196846495265708
2015-08-31,5.635240357617355e-06,,2.9463468736048966
2015-09-01,2.7275747933349043e-05,,2.852396368022332
2015-09-02,7.595958512322931e-05,,2.3697189925607214
2015-09-03,5.869669414478683e-05,,2.226568345739416
2015-09-04,1.722045824054327e-05,,2.0600390903404016
2015-09-07,7.164542380746157e-05,,1.9707563118508802
2015-09-08,5.6200969619045915e-06,,1.9806086608787974
2015-09-09,9.292266038770116e-05,,1.9435975958332588
2015-09-10,4.9513759390884524e-05,,2.192480104382822
2015-09-11,3.267089467599604e-05,,2.2242740233488103
2015-09-14,1.4640880220943787e-05,,2.377951055597932
2015-09-15,1.4650411265428312e-05,,2.4414592982745518
2015-09-16,9.475113675477412e-06,,2.3826789447147174
2015-09-17,1.6364886460040665e-05,,2.4625598880914934
2015-09-18,9.795255744208456e-06,-0.3024583046429491,2.607635482164634
2015-09-21,1.4395154216898004e-05,-0.07149537394311249,2.652111818476193
2015-09-22,7.567756917436494e-06,-0.4133497664186769,2.3988942893930227
2015-09-23,1.1662838656680453e-05,-0.20566360648496188,2.5327818997469014
2015-09-24,1.2406421178707397e-05,-0.16730093983782637,2.5216598019698804
2015-09-25,3.3071320400983674e-05,0.8784537738122278,2.1978660379113717
2015-09-28,1.031342027026218e-05,-0.27967672913853187,2.1475575822154838
2015-09-29,3.5507765151955776e-05,1.0006307686420113,1.946505046427624
2015-09-30,1.0237645380115498e-05,-0.289948765241383,2.0027763627485347
2015-10-01,3.228354479892105e-05,0.8355899397071578,2.024992261871137
2015-10-02,1.4699383592040265e-05,-0.0671416271336129,1.9628551476709641
2015-10-05,1.1586975620726224e-05,-0.2266930003256783,2.0024527056302226
2015-10-06,3.639141279507687e-05,1.0481993472381343,2.1510685431718004
2015-10-07,1.0147392293873841e-05,-0.3074748810760297,2.0453654432443544
2015-10-08,2.3866280665355748e-05,0.4024938723044769,2.1876678262146676
2015-10-09,1.6325474617169056e-05,0.010109135086943215,2.105378984539395
2015-10-12,7.551904441311112e-06,-0.4461330440254235,2.103628806455428
2015-10-13,4.569935729150473e-06,-0.5994263274739502,2.091833525819018
2015-10-14,5.857510826124744e-05,2.189358556698407,2.086164509684628
2015-10-15,3.52785673442308e-05,0.9766012645734469,1.9494489930968615
2015-10-16,5.2796779466390366e-05,1.8547075272253053,2.155042795547457
2015-10-19,1.1251081329551339e-05,-0.2770037490187271,2.088849411004543
2015-10-20,7.749959374909774e-06,-0.4554419771371059,2.070966290087131
2015-10-21,5.474704726956412e-06,-0.570383996415412,2.00096010031584
2015-10-22,1.7164986162502808e-05,0.034529587948778966,2.0994772612944295
2015-10-23,0.00017050955009126543,6.674219805066056,2.063532283166023
2015-10-26,6.031325688765421e-06,-0.4991408404264581,1.968720765059451
2015-10-27,6.84739427604073e-06,-0.46161769780195944,2.012435005262068
2015-10-28,2.464275675061514e-05,0.3175338623184822,2.0146968065300093
2015-10-29,2.0679693835475026e-05,0.14278030753486523,2.0338894569026222
2015-10-30,3.965682990970008e-06,-0.5920318823034885,2.1803053992327004
2015-11-02,1.4775478280531973e-05,-0.11376110566999288,2.2021453883735385
2015-11-03,2.1371478061193057e-06,-0.6711868638289542,2.2615017865075524
2015-11-04,1.474796781093953e-05,-0.11055601014306406,2.2485481575915225
2015-11-05,1.1690577889605128e-05,-0.2460029962759373,2.239346689710469
2015-11-06,1.6974914005829644e-05,-0.009761556676549892,2.210639369541105
2015-11-09,1.3772931548111101e-06,-0.7058877967710294,2.2500833606010286
2015-11-10,1.5531023412957067e-06,-0.6948169652100258,2.576672340791016
2015-11-11,3.3419777944549415e-06,-0.6117773794486445,2.6018535980134363
2015-11-12,1.7752467426370362e-06,-0.6793654782475735,2.59926075791835
2015-11-13,1.0515423503868823e-05,-0.28388807178311726,2.5957895252071084
2015-11-16,9.19375310858051e-06,-0.34257221615925354,2.6141639879665814
2015-11-17,7.258140318026035e-06,-0.4289158634167532,3.0109442989321056
2015-11-18,3.3415648857198373e-06,-0.6046724696912226,3.808366998248659
2015-11-19,2.5222875459936726e-06,-0.6393616928665607,3.7521858816497202
2015-11-20,4.647503481625856e-06,-0.5402641104340759,3.4101316672751185
2015-11-23,6.255350996233623e-06,-0.4650388679914918,3.6466342459518706
2015-11-24,5.946634690836643e-06,-0.47750129496930516,3.672065336831798
2015-11-25,5.21911136565394e-06,-0.5091000986403991,3.705793523873334
2015-11-26,2.7054014956952484e-06,-0.6224290049227855,4.567697607064453
2015-11-27,1.5770203046863697e-06,-0.6717237078283006,4.723340818640407
2015-11-30,3.916361858517964e-06,-0.5615010125557987,4.734794371262753
2015-12-01,7.337496920508538e-06,-0.40174655508068513,5.552481700550471
2015-12-02,7.567072224022798e-06,-0.38983371520295385,5.395622198140542
2015-12-03,9.715710059944982e-06,-0.28897951108394393,6.1841447824844895
2015-12-04,5.862404436436829e-05,1.965719913987314,6.211301856513229
2015-12-07,5.862508595745495e-06,-0.4742736731193501,5.842914049093575
2015-12-08,1.4542696343334298e-05,-0.07153075930831423,5.906260483481406
2015-12-09,1.738610147910009e-05,0.06053017619006006,6.012418515761029
2015-12-10,1.0248094761691125e-05,-0.2715254896975891,5.8879719964344375
2015-12-11,1.3833295260000224e-05,-0.10364491384202835,5.802710382377876
2015-12-14,2.879183542691267e-05,0.5953449838735857,5.909625499785083
2015-12-15,1.2511141370243514e-05,-0.16864607878306132,5.552980086761437
2015-12-16,3.298049530394877e-06,-0.6002042460652045,5.453595902196271
2015-12-17,3.324573102200173e-06,-0.5968173846033036,5.490130797815342
2015-12-18,1.4225984111779962e-05,-0.08164586076690994,5.5550207158669105
2015-12-21,5.929632767324535e-06,-0.4730643278993571,5.534155324920907
2015-12-22,4.444825969293021e-06,-0.541711201589544,5.515455288659986
2015-12-23,5.4357397196486986e-06,-0.4930155012620806,5.6033718004823045
2015-12-24,5.238606582391978e-06,-0.5007978142429705,5.708408903456858
2015-12-25,1.857515944069218e-06,-0.6597574688876748,5.842191122771301
2015-12-28,1.8897071962669422e-06,-0.6558300514731419,5.903963644180872
2015-12-29,2.7553358478834492e-06,-0.6122605589476044,5.855595574323315
2015-12-30,7.171212472527871e-06,-0.39937264927390653,6.012103492731669
