Date,USD,EUR,GBP,JPY,CHF,AUD,CAD,NZD,SEK,NOK
2015-01-01,1.0,1.2098628282546997,1.558093547821045,0.008356103958878931,1.0059249095746485,0.817126989364624,0.8609852804563014,0.7800920009613037,0.12828308562994084,0.13417955659973851
2015-01-02,1.0,1.2089413404464722,1.5579720735549927,0.008342370710661504,1.0059350422676747,0.8177952170372009,0.8610298209017392,0.7791802883148193,0.12815124099095465,0.13412412867206144
2015-01-05,1.0,1.194643259048462,1.5284910202026367,0.0083033031844047,0.9942334373402177,0.8067768812179565,0.847960690146305,0.7665772438049316,0.1258227231727539,0.1315159567713235
2015-01-06,1.0,1.193901538848877,1.5258322954177856,0.00837345593005016,0.9938382466589823,0.8099789619445801,0.8505571516147146,0.7700007557868958,0.1262967514036171,0.13099635779064825
2015-01-07,1.0,1.1875356435775757,1.5137982368469238,0.008426516809349093,0.988826294743416,0.8080155253410339,0.8448086754797149,0.7747734189033508,0.12618169436676574,0.12913773465479836
2015-01-08,1.0,1.1836000680923462,1.5107566118240356,0.008383002520938319,0.9854741210790653,0.8075587749481201,0.8461310968364576,0.7770611047744751,0.1254738208005918,0.1299123053284096
2015-01-09,1.0,1.1796069145202637,1.5087963342666626,0.008347802871047551,0.9820384741998278,0.8114249110221863,0.8454943798050747,0.7813110947608948,0.12457039100981783,0.13123531414624787
2015-01-12,1.0,1.187070369720459,1.5189489126205444,0.008459378210660022,0.9883181206445375,0.8222332000732422,0.8442879674837825,0.7846829891204834,0.12481121960230898,0.13081762512793874
2015-01-13,1.0,1.1831519603729248,1.5170363187789917,0.008451084910088585,0.9853187806142597,0.8150623440742493,0.8355615018537802,0.7765181064605713,0.12384054792488519,0.12920230536393443
2015-01-14,1.0,1.1778285503387451,1.5170363187789917,0.008489324806183777,0.9808729604337417,0.8173941373825073,0.8365051179373766,0.7744133472442627,0.12407563841074946,0.12925624861207527
2015-01-15,1.0,1.1785920858383179,1.5234380960464478,0.008518613214067203,0.9814217275795083,0.8144648671150208,0.83703021491997,0.7713668942451477,0.12365982980168688,0.13123531414624787
2015-01-16,1.0,1.1637378931045532,1.5181187391281128,0.0086110395561089,1.170412013628982,0.8223684430122375,0.8362602814029213,0.784067690372467,0.12333802732742044,0.13158725456787074
2015-01-19,1.0,1.1566041707992554,1.5142109394073486,0.00850629483469991,1.1652295317048853,0.8227066993713379,0.8354009868131135,0.7794232368469238,0.12358343109682983,0.13239422108598575
2015-01-20,1.0,1.1597968339920044,1.5090012550354004,0.008495310733917667,1.136789901679137,0.8195378184318542,0.8364700848504888,0.7758553624153137,0.12286521777848602,0.1309308401879224
2015-01-21,1.0,1.1546944379806519,1.5147384405136108,0.00842822090797053,1.1437460353386184,0.8165265321731567,0.82555248122639,0.7647013664245605,0.12234239597070576,0.13016596354003415
2015-01-22,1.0,1.1615345478057861,1.5144860744476318,0.008484642752599568,1.1621150790126948,0.8101101517677307,0.8101232963099956,0.7572888731956482,0.12251899490995886,0.13201843188704623
2015-01-23,1.0,1.1346745491027832,1.5013211965560913,0.008420981757002328,1.1471836787888763,0.801988959312439,0.8076109407369368,0.750750720500946,0.1214208205460866,0.1306443276282385
2015-01-26,1.0,1.1125450134277344,1.4995876550674438,0.008520718121692356,1.134944956520945,0.787587583065033,0.8027614984522506,0.7418947815895081,0.11956430890623976,0.12841586235503133
2015-01-27,1.0,1.1247708797454834,1.5085458755493164,0.008437394771547198,1.1095084716563814,0.7922046780586243,0.8013269654682532,0.7437156438827515,0.12061606473432686,0.12844489252967325
2015-01-28,1.0,1.1367381811141968,1.5188103914260864,0.008490766181652464,1.112099616646426,0.7921419143676758,0.8068420013348285,0.7454341650009155,0.12215679835150951,0.12933431267526244
2015-01-29,1.0,1.1281461715698242,1.5142338275909424,0.008503979655121428,1.1025358260385552,0.7892659902572632,0.7985944689822133,0.7324396967887878,0.12051967397107392,0.1279083157190061
2015-01-30,1.0,1.13355553150177,1.5079090595245361,0.008456802573481827,1.0840108232987542,0.7782101631164551,0.7928956856292496,0.7282790541648865,0.12105951551764287,0.1279705146061622
2015-02-02,1.0,1.1309019327163696,1.5087052583694458,0.008533588340953678,1.0854227792482154,0.7782101631164551,0.7881400472586684,0.726005494594574,0.12105364567874426,0.12958386697070015
2015-02-03,1.0,1.1341726779937744,1.5028102397918701,0.008505209661542334,1.0786322910331945,0.7801529169082642,0.7947230726306999,0.7301934957504272,0.12027701741039926,0.13076254227105666
2015-02-04,1.0,1.145737886428833,1.5142109394073486,0.00850007623168648,1.08137337871816,0.7762769460678101,0.8037939236318887,0.7328691482543945,0.1214476530219279,0.1327848414643644
2015-02-05,1.0,1.131874680519104,1.5180034637451172,0.008526021270950375,1.079913608023635,0.7760962843894958,0.7951021918510397,0.7359976172447205,0.12054437734863437,0.13113378040229204
